,parkmeter_id,user_type,payment_method,amount,duration_hours,parking_start,parking_end,parkmeter_address,arrondissement,system,residential_area,hourly_rate,parkmeter_coordinates
17066643,99020305,Rotatif,Paris Carte,1.2,1.0,2014-10-01 19:26:44,2014-10-01 20:26:44,47 RUE DES VOLONTAIRES,15,MIX,15H,2.4,"48.8398650001, 2.30915999938"
6686974,65940702,Rotatif,Paris Carte,0.9,0.75,2014-03-04 15:09:28,2014-03-04 15:54:28,45 vis-à-vis RUE DU MOULIN DES PRES,13,MIX,13L,2.4,"48.8272910004, 2.35300900013"
21817399,27070208,Rotatif,CB,4.8,2.0,2014-10-29 17:58:47,2014-10-29 19:58:00,10 terre-plein RUE DU DEPART,15,ROT,15H,2.4,"48.8428040002, 2.32368199963"
23818753,31160311,Rotatif,CB,4.8,2.0,2014-09-29 19:21:25,2014-09-30 11:21:25,5 vis-à-vis BOULEVARD EDGAR QUINET,14,MIX,14N,2.4,"48.8409829999, 2.32526100015"
9524094,18871106,Rotatif,CB,2.4,1.0,2014-03-31 10:36:57,2014-03-31 12:00:00,172 BOULEVARD DE CHARONNE,20,ROT,20G,2.4,"48.857225, 2.39340800063"
1245767,42930202,Rotatif,CB,2.4,1.0,2014-09-15 18:56:48,2014-09-15 19:56:48,15 vis-à-vis RUE DE LA GRANGE AUX BELLES,10,MIX,10E,4.0,"48.8739369999, 2.36536400063"
3784905,50100304,Rotatif,CB,2.4,2.0,2014-04-29 13:23:13,2014-04-29 15:23:13,34 RUE JOSEPH DE MAISTRE,18,MIX,18E,2.4,"48.8881650004, 2.33210300026"
9631096,44850403,Rotatif,CB,4.5,1.25,2014-08-04 14:02:55,2014-08-04 15:17:55,9 BOULEVARD HAUSSMANN,9,ROT,9G,4.0,"48.8724269997, 2.33641700057"
21552951,31500102,Résident,Paris Carte,3.25,50.0,2014-10-29 18:03:51,2014-05-11 19:03:00,17 vis-à-vis RUE EDOUARD MANET,13,MIX,13K,2.4,"48.8330830003, 2.35728999942"
7242744,26910502,Rotatif,CB,4.8,2.0,2014-01-31 09:58:59,2014-01-31 12:00:00,4 vis-à-vis PLACE DENFERT ROCHEREAU,14,MIX,14N,2.4,"48.8349090002, 2.33123800018"
23185135,40240301,Résident,Paris Carte,3.25,50.0,2014-06-10 12:33:21,2014-10-13 12:33:21,7 terre-plein central vis-à-vis PLACE GENERAL CATROUX,17,MIX,17K,2.4,"48.8828790002, 2.30979799939"
23341495,66851101,Rotatif,CB,3.6,1.5,2014-10-20 14:14:27,2014-10-20 15:44:27,20 vis-à-vis PLACE DE LA NATION,12,ROT,12H,2.4,"48.8473391597, 2.3958794597"
12934148,23950101,Rotatif,CB,1.8,1.5,2014-02-27 15:13:44,2014-02-27 16:43:44,1 RUE COURNOT,15,MIX,15P,2.4,"48.8401140003, 2.29319000051"
23153715,66391703,Rotatif,CB,2.4,2.0,2014-01-10 12:15:25,2014-01-10 14:15:25,175 BOULEVARD MURAT,16,MIX,16Z,2.4,"48.8389869999, 2.2642219997"
3515451,77400101,Rotatif,Paris Carte,1.8,0.5,2014-04-24 17:10:04,2014-04-24 17:40:04,9 BOULEVARD DE PORT ROYAL,13,MIX,13H,2.4,"48.8367809999, 2.34998800045"
1867839,47540103,Rotatif,CB,2.4,2.0,2014-08-09 10:41:00,2014-08-09 13:00:00,23 AVENUE D ITALIE,13,ROT,13L,2.4,"48.8287930001, 2.35661999953"
14011896,99520102,Rotatif,Paris Carte,0.3,0.25,2014-02-13 17:27:45,2014-02-13 17:42:45,4 RUE DE WATTIGNIES,12,MIX,12K,2.4,"48.8367130001, 2.39256499981"
17211160,83780202,Rotatif,Paris Carte,2.4,2.0,2014-12-24 12:01:19,2014-12-24 14:01:19,18 RUE ROTTEMBOURG,12,MIX,12M,2.4,"48.8382179996, 2.40598499943"
23374014,18640205,Rotatif,Paris Carte,1.2,1.0,2014-03-10 14:05:48,2014-03-10 15:05:48,40 vis-à-vis RUE CHARLES MOUREU,13,MIX,13L,2.4,"48.8285079999, 2.36114700011"
8499066,35181502,Rotatif,Paris Carte,3.6,1.0,2014-04-04 17:02:12,2014-04-04 18:02:12,166 RUE DU FAUBOURG SAINT HONORE,8,ROT,8F,4.0,"48.8737390004, 2.30886399984"
16135395,46680204,Rotatif,CB,1.8,0.5,2014-06-01 15:25:43,2014-06-01 15:55:43,18 RUE DE L HOTEL DE VILLE,4,MIX,4E,4.0,"48.854121, 2.35655900023"
10223940,83391603,Résident,CB,3.25,50.0,2014-03-22 10:14:13,2014-03-28 20:00:00,153 RUE DE ROME,17,MIX,17R,2.4,"48.8866480004, 2.31533399934"
6000235,31160802,Rotatif,Paris Carte,4.8,2.0,2014-03-21 13:14:55,2014-03-21 15:14:55,36 BOULEVARD EDGAR QUINET,14,MIX,14N,2.4,"48.8406609999, 2.32688599994"
21492600,35531201,Rotatif,Paris Carte,1.5,1.25,2014-10-29 13:27:58,2014-10-29 14:42:00,119 AVENUE FELIX FAURE,15,MIX,15W,2.4,"48.838409, 2.28168899977"
15928437,40350102,Rotatif,CB,2.4,2.0,2014-01-14 15:00:35,2014-01-14 17:00:35,8 AVENUE DU GENERAL DODDS,12,MIX,12L,2.4,"48.8336640002, 2.4051520005"
22578714,77090401,Résident,CB,0.65,10.0,2014-10-14 15:51:29,2014-10-15 15:51:29,27 AVENUE DE LA PORTE DE VILLIERS,17,MIX,17F,2.4,"48.8851689999, 2.2848750001"
21449419,9131101,Résident,Paris Carte,3.25,50.0,2014-10-28 23:50:49,2014-04-11 21:00:00,57 terre-plein vis-à-vis BOULEVARD BERTHIER,17,MIX,17N,2.4,"48.8867539996, 2.29707899968"
22158416,87920103,Rotatif,CB,4.8,2.0,2014-10-28 10:49:48,2014-10-28 12:49:00,5 RUE SALNEUVE,17,MIX,17P,2.4,"48.8848510001, 2.31454900054"
3035598,11270402,Rotatif,Paris Carte,0.3,0.25,2014-06-23 07:27:23,2014-06-23 11:15:00,36 RUE BOTZARIS,19,MIX,19L,2.4,"48.8786119996, 2.38229000037"
9425317,5411105,Résident,Paris Carte,3.25,50.0,2014-09-04 16:24:24,2014-04-16 16:24:24,141 BOULEVARD AUGUSTE BLANQUI,13,MIX,13G,2.4,"48.8311400004, 2.34259799946"
12347597,91200102,Rotatif,CB,2.4,2.0,2014-09-04 16:00:38,2014-09-04 18:00:38,8 RUE DES SUISSES,14,MIX,14K,2.4,"48.8311090001, 2.31471500032"
4521177,77400702,Rotatif,CB,0.9,0.25,2014-12-03 13:58:23,2014-12-03 14:13:23,76 BOULEVARD DE PORT ROYAL,5,ROT,5E,4.0,"48.8386759996, 2.34103700037"
17202432,9840102,Rotatif,Paris Carte,0.6,0.25,2014-12-30 09:39:03,2014-12-30 10:15:00,10 RUE BISCORNET,12,MIX,12E,2.4,"48.8506479996, 2.36981299989"
841733,18870304,Rotatif,Paris Carte,1.8,0.75,2014-08-29 14:21:30,2014-08-29 15:06:30,18 terre-plein bis BOULEVARD DE CHARONNE,20,ROT,20H,2.4,"48.8493049999, 2.39924900058"
19964297,23980902,Résident,CB,3.25,50.0,2014-10-11 02:25:36,2014-11-17 20:00:00,134 RUE DES COURONNES,20,MIX,20E,2.4,"48.8724719997, 2.3894480003"
23663117,50830302,Rotatif,CB,4.8,2.0,2014-10-10 18:12:40,2014-10-10 20:12:40,22 RUE JULES GUESDE,14,MIX,14N,2.4,"48.836497, 2.32095199949"
3921063,91200102,Rotatif,Paris Carte,1.5,1.25,2014-03-07 15:55:58,2014-03-07 17:10:58,8 RUE DES SUISSES,14,MIX,14K,2.4,"48.8311090001, 2.31471500032"
14105407,50850102,Rotatif,Paris Carte,2.1,1.75,2014-06-02 17:50:57,2014-06-02 19:35:57,2 PLACE JULES HENAFFE,14,MIX,14J,2.4,"48.8239199997, 2.33138199967"
20930983,64240201,Rotatif,CB,4.8,2.0,2014-10-11 14:10:55,2014-10-11 16:10:55,17 RUE MONCEY,9,MIX,9E,4.0,"48.8799559998, 2.32991799955"
2787452,68640501,Résident,Paris Carte,0.65,10.0,2014-08-09 14:36:16,2014-09-09 14:36:16,35 RUE OCTAVE FEUILLET,16,MIX,16M,2.4,"48.8625250003, 2.27033800039"
24101801,81581402,Rotatif,CB,4.8,2.0,2014-10-10 10:33:26,2014-10-10 13:00:00,92 AVENUE DE LA REPUBLIQUE,11,MIX,11F,4.0,"48.863727, 2.38184799989"
20707317,62200102,Résident,Paris Carte,3.25,50.0,2014-11-17 10:31:46,2014-11-24 10:31:46,0 RUE MAX JACOB,13,MIX,13E,2.4,"48.8199270004, 2.35480700007"
18835322,50370501,Rotatif,CB,2.4,2.0,2014-03-12 17:39:21,2014-03-12 19:39:21,57 BOULEVARD JOURDAN,14,MIX,14G,2.4,"48.8216390004, 2.33197599962"
15527331,64320902,Rotatif,CB,3.6,1.0,2014-01-31 19:08:10,2014-01-02 10:08:10,77 vis-à-vis RUE MONGE,5,ROT,5G,4.0,"48.8428509998, 2.35208699998"
23092648,43101503,Rotatif,Paris Carte,2.4,1.0,2014-06-10 12:58:12,2014-06-10 13:58:12,24 vis-à-vis BOULEVARD DE GRENELLE,15,MIX,15E,2.4,"48.85296, 2.2901550002"
6030954,72670202,Résident,CB,3.25,50.0,2014-05-26 21:46:44,2014-03-06 20:00:00,10 RUE PERIGNON,7,MIX,7K,4.0,"48.8477839996, 2.30946899938"
20996238,93372601,Rotatif,CB,2.4,2.0,2014-12-13 15:18:49,2014-12-13 17:18:49,217 RUE DE TOLBIAC,13,ROT,13F,2.4,"48.8257259998, 2.34594600049"
8289835,19590201,Rotatif,Paris Carte,4.8,2.0,2014-06-26 15:44:25,2014-06-26 17:44:25,7 RUE DE CHAZELLES,17,MIX,17J,2.4,"48.8797399999, 2.30383499971"
8436572,20690603,Rotatif,Paris Carte,2.7,0.75,2014-05-06 16:45:04,2014-05-06 17:30:04,69 RUE CLAUDE BERNARD,5,MIX,5E,4.0,"48.8410479996, 2.34389500012"
3266498,14670102,Rotatif,Paris Carte,4.2,1.75,2014-09-07 11:47:45,2014-09-07 13:32:45,10 AVENUE DE CAMOENS,16,MIX,16K,2.4,"48.8597300003, 2.28624099994"
15070172,91530301,Rotatif,Paris Carte,2.4,2.0,2014-11-12 09:51:28,2014-11-12 12:00:00,33 RUE TAINE,12,MIX,12K,2.4,"48.8389239998, 2.39364599985"
10315441,69781203,Rotatif,CB,1.2,1.0,2014-06-17 13:07:10,2014-06-17 14:07:10,125 RUE DE L OUEST,14,MIX,14M,2.4,"48.8330721297, 2.31417148997"
5953893,77550402,Rotatif,Paris Carte,1.8,1.5,2014-03-26 22:01:37,2014-03-27 11:30:00,20 RUE DU POTEAU,18,ROT,18S,2.4,"48.8935999998, 2.34248900012"
20602420,92810101,Résident,Paris Carte,0.65,10.0,2014-11-13 20:37:48,2014-11-14 20:00:00,7 RUE THIMONNIER,9,MIX,9F,4.0,"48.8800260004, 2.34686499986"
3097728,85130501,Rotatif,Paris Carte,2.4,2.0,2014-07-18 15:42:07,2014-07-18 17:42:07,77 RUE SAINT CHARLES,15,MIX,15M,2.4,"48.8475470001, 2.28640500043"
21693538,77090401,Résident,Paris Carte,3.25,50.0,2014-10-31 12:20:21,2014-07-11 13:20:00,27 AVENUE DE LA PORTE DE VILLIERS,17,MIX,17F,2.4,"48.8851689999, 2.2848750001"
17754642,41410202,Rotatif,CB,2.4,1.0,2014-12-22 11:40:31,2014-12-22 12:40:31,10 AVENUE GEORGES MANDEL,16,MIX,16K,2.4,"48.8633990002, 2.28466700043"
8004093,8331901,Rotatif,Paris Carte,0.3,0.25,2014-03-06 17:39:39,2014-03-06 17:54:39,197 terre-plein RUE DE BELLEVILLE,19,MIX,19L,2.4,"48.8755989998, 2.39267999944"
11766841,78390104,Rotatif,CB,4.8,2.0,2014-07-03 09:26:22,2014-07-03 13:00:00,16 RUE DU PRINTEMPS,17,MIX,17P,2.4,"48.8874530001, 2.30986899969"
16030826,50310702,Rotatif,CB,4.8,2.0,2014-09-01 10:29:27,2014-09-01 13:00:00,62 RUE JOUFFROY D ABBANS,17,MIX,17L,2.4,"48.8845840001, 2.30600699943"
19654362,96030102,Rotatif,CB,0.9,0.75,2014-03-12 16:34:09,2014-03-12 17:19:09,4 RUE DE VARIZE,16,MIX,16Y,2.4,"48.8406959997, 2.2579350002"
6876515,54670504,Rotatif,Paris Carte,4.8,2.0,2014-09-05 17:52:47,2014-09-05 19:52:47,76 AVENUE LEDRU ROLLIN,12,MIX,12E,2.4,"48.849365, 2.37407000045"
7094892,13710207,Rotatif,CB,7.2,2.0,2014-07-07 16:57:37,2014-07-07 18:57:37,47 RUE BUFFON,5,MIX,5F,4.0,"48.8417410003, 2.35836200065"
23595593,86193206,Rotatif,CB,1.8,0.5,2014-04-10 17:59:19,2014-04-10 18:29:19,224 BOULEVARD SAINT GERMAIN,7,ROT,7L,4.0,"48.8555380003, 2.32729799955"
16430109,62900102,Rotatif,Paris Carte,4.8,2.0,2014-06-02 13:55:28,2014-06-02 15:55:28,8 RUE DES MESSAGERIES,10,MIX,10G,4.0,"48.8763669997, 2.34984000034"
5708875,98840106,Rotatif,Paris Carte,0.6,0.5,2014-02-07 15:00:24,2014-02-07 15:30:24,12 RUE DE LA VISTULE,13,MIX,13M,2.4,"48.8233319998, 2.36027900021"
8056111,88240102,Rotatif,Paris Carte,1.2,1.0,2014-05-05 11:19:18,2014-05-05 12:19:18,4 RUE SARASATE,15,MIX,15P,2.4,"48.8421059998, 2.2866950006"
20520489,96070303,Résident,Paris Carte,0.65,10.0,2014-11-18 14:49:03,2014-11-19 14:49:03,57 RUE VASCO DE GAMA,15,MIX,15X,2.4,"48.8360869997, 2.28455400012"
9671560,43100604,Rotatif,Paris Carte,0.6,0.25,2014-05-30 15:41:11,2014-05-30 15:56:11,71 vis-à-vis BOULEVARD DE GRENELLE,15,ROT,15F,2.4,"48.8504719998, 2.29369599937"
22754671,86900104,Rotatif,CB,2.7,0.75,2014-10-17 14:23:48,2014-10-17 15:08:48,26 BOULEVARD SAINT MARCEL,5,MIX,5F,4.0,"48.8392630001, 2.35932700019"
1717851,22140204,Rotatif,Paris Carte,2.4,2.0,2014-10-09 16:19:50,2014-10-09 18:19:50,16 RUE DU COLONEL PIERRE AVIA,15,MIX,15X,2.4,"48.8301349998, 2.27573899939"
17845576,88960502,Rotatif,CB,1.2,1.0,2014-12-31 13:07:16,2014-12-31 14:07:16,66 AVENUE SECRETAN,19,MIX,19J,2.4,"48.8799249997, 2.37601400034"
22585477,46170101,Rotatif,CB,2.4,2.0,2014-10-16 16:26:34,2014-10-16 18:26:34,1 RUE HERMEL,18,MIX,18L,2.4,"48.8898139997, 2.34389699951"
23571460,83630202,Rotatif,CB,2.4,2.0,2014-02-10 14:57:35,2014-02-10 16:57:35,36 RUE ROSENWALD,15,MIX,15S,2.4,"48.8322889997, 2.30537499963"
18331097,18870704,Rotatif,CB,4.2,1.75,2014-10-12 10:32:25,2014-10-12 12:45:00,68 BOULEVARD DE CHARONNE,20,MIX,20G,2.4,"48.8527190002, 2.39758099975"
13684395,35142304,Rotatif,Paris Carte,3.0,1.25,2014-04-22 16:18:01,2014-04-22 17:33:01,252 RUE DU FAUBOURG SAINT ANTOINE,12,ROT,12H,2.4,"48.8490439997, 2.39082000067"
10122049,7790401,Rotatif,CB,2.4,1.0,2014-11-03 17:19:21,2014-11-03 18:19:21,11 bis RUE BEAUJON,8,MIX,8G,4.0,"48.87529, 2.29727500051"
11295187,23200102,Résident,Paris Carte,3.25,50.0,2014-03-26 21:36:48,2014-02-04 20:00:00,6 AVENUE DE CORBERA,12,MIX,12G,2.4,"48.8455870002, 2.38180100053"
540814,86941301,Rotatif,Paris Carte,0.9,0.25,2014-01-08 10:56:07,2014-01-08 11:11:07,173 RUE SAINT MARTIN,3,ROT,3E,4.0,"48.8626440004, 2.35212000033"
5176476,91710102,Résident,Paris Carte,0.65,10.0,2014-07-15 08:45:19,2014-07-15 21:00:00,8 RUE DE TANGER,19,MIX,19G,2.4,"48.8847200004, 2.36734199964"
9193582,98530605,Rotatif,Paris Carte,0.6,0.25,2014-03-07 11:55:00,2014-03-07 12:10:00,125 vis-à-vis BOULEVARD VINCENT AURIOL,13,ROT,13R,2.4,"48.8336239998, 2.36471000038"
17817908,64210102,Rotatif,CB,1.2,0.5,2014-12-29 12:55:43,2014-12-29 13:25:43,2 VILLA MONCEAU,17,MIX,17H,2.4,"48.8830150001, 2.29968700038"
82246,80290902,Résident,CB,0.65,10.0,2014-08-09 16:22:41,2014-09-09 16:22:41,84 RUE DU RANELAGH,16,MIX,16S,2.4,"48.8557070004, 2.26986200027"
7370363,60740102,Rotatif,Paris Carte,0.9,0.75,2014-04-29 16:31:26,2014-04-29 17:16:26,8 RUE MARIE DAVY,14,MIX,14J,2.4,"48.8259859997, 2.3293149999"
8768398,40750802,Résident,Paris Carte,3.25,50.0,2014-04-22 19:29:04,2014-04-29 19:29:04,120 AVENUE DU GENERAL MICHEL BIZOT,12,MIX,12P,2.4,"48.8405699996, 2.40468499975"
5762651,57260103,Rotatif,CB,3.6,1.5,2014-04-06 18:35:15,2014-04-06 20:05:15,5 RUE DE LOGELBACH,17,MIX,17J,2.4,"48.8814430002, 2.30824299977"
4036853,19900101,Rotatif,CB,2.4,2.0,2014-06-18 14:03:43,2014-06-18 16:03:43,5 RUE DU CHEVALERET,13,MIX,13P,2.4,"48.825438, 2.3779650004"
14294301,33640201,Résident,Paris Carte,3.25,50.0,2014-02-02 07:48:13,2014-07-02 21:00:00,23 RUE DE L ESPERANCE,13,MIX,13L,2.4,"48.8271139997, 2.3484920001"
6520829,86991304,Résident,CB,0.65,10.0,2014-09-05 09:22:38,2014-09-05 21:00:00,94 RUE SAINT MAUR,11,MIX,11F,4.0,"48.8653679999, 2.37764499957"
17720165,33640502,Rotatif,CB,0.6,0.5,2014-05-12 13:24:22,2014-05-12 13:54:22,32 RUE DE L ESPERANCE,13,MIX,13G,2.4,"48.8258179999, 2.34722600064"
6169560,43102303,Rotatif,CB,4.2,1.75,2014-04-23 15:01:04,2014-04-23 16:46:04,162 vis-à-vis BOULEVARD DE GRENELLE,15,MIX,15L,2.4,"48.84818, 2.30050400007"
15638739,84740202,Rotatif,Paris Carte,0.3,0.25,2014-01-30 09:31:15,2014-01-30 10:15:00,0 RUE SAILLARD,14,MIX,14L,2.4,"48.8323449997, 2.32701499933"
1250900,49510104,Rotatif,CB,0.9,0.75,2014-12-09 09:53:49,2014-12-09 10:45:00,7 vis-à-vis RUE JEAN SICARD,15,MIX,15U,2.4,"48.8282529996, 2.29847799943"
16167129,52000402,Rotatif,Paris Carte,1.2,0.5,2014-01-16 14:48:09,2014-01-16 15:18:09,34 RUE DE LABORDE,8,ROT,8J,4.0,"48.8755859996, 2.31770099989"
18850231,12880102,Résident,Paris Carte,3.25,50.0,2014-12-15 20:09:06,2014-12-22 20:00:00,12 RUE BREZIN,14,MIX,14L,2.4,"48.8311410003, 2.32830100033"
13801244,590101,Rotatif,Paris Carte,0.3,0.25,2014-12-17 09:47:36,2014-12-17 10:15:00,5 PLACE ADOLPHE CHERIOUX,15,MIX,15R,2.4,"48.8405180004, 2.30076099996"
8063817,53660102,Rotatif,Paris Carte,5.4,1.5,2014-05-20 15:35:54,2014-05-20 17:05:54,14 RUE LAS CASES,7,MIX,7L,4.0,"48.8582769996, 2.32112199999"
14591654,73300401,Résident,CB,3.25,50.0,2014-12-16 17:51:22,2014-12-23 17:51:22,47 RUE DES PETITES ECURIES,10,MIX,10F,4.0,"48.8738659996, 2.349483"
19186239,88660303,Rotatif,Paris Carte,7.2,2.0,2014-11-25 09:06:25,2014-11-25 12:00:00,35 AVENUE DE SAXE,7,MIX,7K,4.0,"48.8482430003, 2.31030899937"
11524375,87800201,Rotatif,Paris Carte,0.6,0.25,2014-05-27 17:19:45,2014-05-27 17:34:45,26 vis-à-vis RUE SAINT VINCENT,18,MIX,18F,2.4,"48.8884369999, 2.34075700026"
17460296,97831302,Résident,Paris Carte,2.25,34.62,2014-12-27 19:26:16,2015-05-01 21:00:00,120 RUE VIEILLE DU TEMPLE,3,MIX,3E,4.0,"48.8613919996, 2.36357100002"
12068585,69181902,Rotatif,CB,2.4,2.0,2014-03-13 10:46:34,2014-03-13 12:46:34,162 RUE ORDENER,18,ROT,18P,2.4,"48.8937919999, 2.33579099936"
13164421,17941604,Rotatif,Paris Carte,0.6,0.25,2014-12-26 10:06:28,2014-12-26 10:21:28,170 RUE DE CHARENTON,12,ROT,12G,2.4,"48.8445730002, 2.38366500015"
21869036,66390107,Rotatif,Paris Carte,0.3,0.25,2014-10-21 18:29:47,2014-10-21 18:44:00,0 BOULEVARD MURAT,16,MIX,16W,2.4,"48.8456679998, 2.25790199952"
22615993,52880902,Résident,CB,3.25,50.0,2014-10-20 10:15:51,2014-10-24 21:00:00,98 RUE LAMARCK,18,MIX,18N,2.4,"48.8903149997, 2.33636400043"
18320506,38540204,Résident,Paris Carte,3.25,50.0,2014-02-15 16:33:32,2014-02-21 20:00:00,34 RUE FREMICOURT,15,MIX,15L,2.4,"48.8475759997, 2.29966099998"
15360273,40210701,Résident,Paris Carte,3.25,50.0,2014-01-26 20:19:04,2014-01-31 20:00:00,39 RUE DU GENERAL BRUNET,19,MIX,19M,2.4,"48.8814690004, 2.39202800065"
21318403,27560702,Rotatif,Paris Carte,1.5,1.25,2014-10-28 14:48:44,2014-10-28 16:03:00,92 RUE DU DESSOUS DES BERGES,13,MIX,13S,2.4,"48.8292900004, 2.37230299938"
